"date","day_type","observed","source","commercial_tally","charter_tally","charter_trips","est_vessels","est_dung_char","est_dung"
2024-12-01,"weekend",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2024-12-02,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2024-12-03,"weekday",TRUE,"tally (commercial census)",5,1,1,5,0,259.583687943262
2024-12-04,"weekday",TRUE,"tally (commercial census)",5,0,0,5,0,195.283687943262
2024-12-05,"weekday",TRUE,"tally (commercial census)",7,1,1,7,0,337.697163120567
2024-12-06,"weekday",TRUE,"tally (commercial census)",4,0,0,4,0,156.22695035461
2024-12-07,"weekend",TRUE,"tally (commercial census)",4,0,0,4,0,156.22695035461
2024-12-08,"weekend",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2024-12-09,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2024-12-10,"weekday",TRUE,"tally (commercial census)",3,1,1,3,0,181.470212765957
2024-12-11,"weekday",TRUE,"tally (commercial census)",4,1,1,4,0,220.52695035461
2024-12-12,"weekday",TRUE,"tally (commercial census)",5,1,1,5,0,259.583687943262
2024-12-13,"weekday",TRUE,"tally (commercial census)",0,1,1,0,0,64.3
2024-12-14,"weekend",TRUE,"tally (commercial census)",0,0,0,0,0,0
2024-12-15,"weekend",TRUE,"tally (commercial census)",10,1,1,10,0,454.867375886525
2024-12-16,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2024-12-17,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2024-12-18,"weekday",TRUE,"tally (commercial census)",10,0,0,10,0,390.567375886525
2024-12-19,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2024-12-20,"weekday",TRUE,"tally (commercial census)",4,0,0,4,0,156.22695035461
2024-12-21,"weekend",TRUE,"tally (commercial census)",3,0,0,3,0,117.170212765957
2024-12-22,"weekend",TRUE,"tally (commercial census)",3,1,1,3,0,181.470212765957
2024-12-23,"weekday",TRUE,"tally (commercial census)",7,0,0,7,0,273.397163120567
2024-12-24,"weekday",TRUE,"tally (commercial census)",3,0,0,3,0,117.170212765957
2024-12-25,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2024-12-26,"weekday",TRUE,"tally (commercial census)",0,0,0,0,0,0
2024-12-27,"weekday",TRUE,"tally (commercial census)",2,0,0,2,0,78.113475177305
2024-12-28,"weekend",TRUE,"tally (commercial census)",1,1,1,1,0,103.356737588652
2024-12-29,"weekend",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2024-12-30,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2024-12-31,"weekend",TRUE,"tally (commercial census)",6,1,1,6,0,298.640425531915
2025-01-01,"weekend",TRUE,"tally (commercial census)",1,1,1,1,0,103.356737588652
2025-01-02,"weekday",TRUE,"tally (commercial census)",3,1,1,3,0,181.470212765957
2025-01-03,"weekday",TRUE,"tally (commercial census)",2,0,0,2,0,78.113475177305
2025-01-04,"weekend",TRUE,"tally (commercial census)",2,1,1,2,0,142.413475177305
2025-01-05,"weekend",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2025-01-06,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
