"stage","criterion","observed","threshold","verdict","why"
"S1","the fixed PE stage reproduces the driver's own Point Estimator","zeroed days private 47/47, private 9/9, shore 44/44, shore 0/0; PE matches on all four components","exact agreement on all four components, both quantities","PASS","The 2026-08-28 stage A did not load crabbing_holidays.xlsx, so it stratified 289 days into 85 week x day-type cells where the driver builds 92, and reported 41/44/8/0 zeroed days against the driver's 44/47/9/0 -- it even assigned the 44 to the wrong component. The zero-vs-day_type COMPARISON was still fair, because both arms shared the stratification, but the absolute numbers were not production numbers and could not be quoted. A FAIL here means the holiday fix is incomplete and every fill number in the plan is still provisional."
"S1","what adopting day_type would cost","private_boat_all_gear +23.0%; private_boat_ring_net_only +28.5%; shore_all_gear +22.9%; shore_ring_net_only +0.0%","decision, not a threshold","DECIDE","`zero` expands unsampled effort strata at zero effort, which asserts that unsampled days had no crabbers on them. The unsampled strata skew weekend and holiday and those days carry 1.7-2.3x weekday effort, so `zero` is biased DOWN by construction and only the size is in question. The counter-argument is continuity with every published number to date, and it is real. Note where this actually changes a REPORTED number: a component whose gate passed reports its BSS, so the fill moves only the cross-check; a component on PE fallback reports this figure directly."
"S2","the informed-day floor REFUSES the shore","shore fits vs stage D (tau OFF): 7225 shared parameter rows across 4 summaries identical at full precision; convergence rows (2) identical","shore fits bit-identical to stage D (shared_tau globally OFF)","PASS","The shore all-gear fit has 4 in-window I/E days out of 289 and its pot-closure fit has none. In the 2026-08-29 batch a global shared_tau moved that component +17.9% (20,898 -> 24,629) on those four observations, with a tau_bar interval still containing the 1.700 prior centre, no measurable improvement in fit, and no replication in the gear track, which put the same parameter at 1.681. The floor should now leave the shore untouched. Bit-identity, not a tolerance: if the shore moved at all, the floor is not the only thing that changed."
"S2","the informed-day floor ALLOWS the boat","boat fits vs stage E (tau ON): 3998 shared parameter rows across 4 summaries identical at full precision; convergence rows (2) identical","boat fits bit-identical to stage E (shared_tau globally ON)","PASS","The boat is why the feature exists: 130 OSP days inform its level once osp_scale_is_tau puts L into the OSP mean, tau_bar lands at 2.597 [2.064, 3.249] excluding the 1.200 prior centre, it agrees with the independent OSP/trailer overlap calibration (2.01-3.03), and it pulls the trailer and OSP PIT means toward nominal simultaneously and in opposite directions. The boat pot closure has 18 informed days and also clears the default floor of 15. A FAIL here means the floor is catching a fit it should not, or something else moved with it."
"S2","the floor's own bookkeeping agrees with its effect","shore all-gear 4 informed / shared_tau=0; boat all-gear 130 / 1; boat pot closure 18 / 1","shore 4 informed with shared_tau 0; boat 130 and 18 with shared_tau 1","PASS","Direct evidence rather than inference from totals. n_L_informed and shared_tau are now written per fit to fit_data_summary.csv, so the decision the floor made is auditable from the output folder without re-reading the console. If the two exactness gates above pass but this disagrees, the totals coincided for another reason and both gates are lucky rather than right."
"S3","the gear boat all-gear fit converges with the pooled track's sampler","method BSS; tau_bar n_eff 19,292 Rhat 0.9997 (was 49 / 1.0813); divergences 2 (was 554)","method_selected == BSS","PASS","The 2026-08-29 gear run rejected this fit at n_eff 25-49 and R-hat 1.08-1.17 with 554 divergences, so the batch got no cross-track verdict on the shared turnover. This run gives that fit the pooled track's settings for the same component (2,500 draws/chain, adapt_delta 0.99, max_treedepth 13) where it previously ran at 1,000 / 0.90 / 10 -- the gear driver has per-fit overrides for shore-all-gear and both pot-closure fits and NONE for boat all-gear. THREE THINGS MOVED, so a PASS does not attribute the fix; it buys a converged fit to compare. A FAIL is the more interesting answer: it would mean the phi_E unit-root boundary is structural in the gear parameterization and no sampler setting reaches it."
"S3","cross-track agreement on the shared turnover","gear tau_bar 2.596 [2.061, 3.250] vs pooled S2 2.597 (2026-08-29 pooled 2.597)","intervals overlap and both exclude the 1.200 prior centre","PASS","Two tracks with different CPUE structure fitting the same turnover on the same data. The rejected 2026-08-29 gear fit already put tau_bar at 2.552, close to the pooled 2.597, but a rejected fit is not evidence. If a converged gear fit lands in the same place, the shared turnover is a property of the data rather than of the pooled parameterization, which is what would justify adopting it."
"S3","the other three gear fits are untouched by the sampler change","gear shore fits vs the 2026-08-29 gear run: 6465 shared parameter rows across 4 summaries DIFFER in 4 summaries; convergence rows (2) DIFFER first difference in bss_summary_shore_all_gear_Dungeness_Kept.csv: Component “mean”: Mean relative difference: 0.01816658","shore fits bit-identical","FAIL","The gear driver's per-fit branch is: shore & all_gear -> the *_shore_allgear settings; pot_closure -> the *_ringnet settings; everything else -> the track defaults. Only private_boat all-gear falls through to the defaults, so raising them should touch exactly one fit. This checks that claim instead of trusting it. A FAIL means the override reached further than intended and S3's comparison with the 2026-08-29 gear run is not clean."
"S4a","a MATCHED (tau off, boat daily) cell, which stage F is not","boat all-gear 37,359 at daily AR (stage D monthly 25,868; stage F escalated 37,359); shore pot closure 6,331 vs stage D 6,331","differs from stage D in the boat all-gear AR and nothing else","PASS","The plan called the 2x2 'one new run' on the grounds that stage F supplies the (off, daily) cell. It does not. Stage F reached daily through ar_escalate, which moved ALL FOUR fits (shore pot closure biweekly->daily, boat pot closure monthly->daily, boat all-gear monthly->daily) through a different code path with a different number of fits per component; its shore pot closure came back 6,352 against stage D's 6,331. Two of its four components therefore differ from the reference for reasons unrelated to the boat's AR. This cell forces ONE component and leaves the other three at their selected resolutions. If the two shore components do not come back at stage D's values, ar_force is leaking again and the 2x2 is contaminated in the same way stage C was."
"S4b","do the shared turnover and the daily AR compound, or overlap?","2x2 boat all-gear: off/monthly 25,868, on/monthly 31,008, off/daily 37,359, on/daily 42,344; interaction -155","an interaction near zero means the two act on different things; a large positive one means both absorb","ADDITIVE","This is the run Stage 5 exists for. Stage E (shared tau at monthly) and stage F (per-day tau at daily) each raise the boat, by +20% and +44%, and had never been varied jointly; the gap between them is roughly 6,000 crab. THE WORKING HYPOTHESIS IS THAT E IS IDENTIFICATION AND F IS ABSORPTION, and the adequacy columns are how to tell: stage E improved the stream it should (trailer elpd +14.67, p_loo unchanged at 8.0% of n_obs, PIT bias 0.079 -> 0.021) while stage F bought a larger elpd gain by spending ~27 more effective parameters (p_loo 8.0% -> 16.3%, Pareto k>0.7 1 -> 2), made the CATCH stream's elpd WORSE, and collapsed r_OSP to 10.61 with a 95% upper bound of 1,405 and sigma_r_OSP at n_eff 307. If on/daily lands near on/monthly, the shared level is doing the work and the daily AR is redundant. If they compound toward ~45,000, neither is identifying and both are absorbing observation error into the latent process."
