"stage","criterion","observed","threshold","verdict","why"
"G0","the gear Stan declares the three ZI data variables","zi_catch, zi_catch_prior_a, zi_catch_prior_b","all three present","PASS","Without them nothing else in this file can settle D6."
"G0","theta_C is declared ZERO-SIZE when zi_catch = 0","  vector<lower=0, upper=1>[zi_catch] theta_C;","vector<lower=0, upper=1>[zi_catch] theta_C","PASS","This is the whole basis of the OFF path being bit-identical rather than merely similar: a zero-size parameter consumes no element of the unconstrained vector and no initialization draw. G1 proves it empirically against the committed R5 render."
"G0","the season total is scaled by zi_scale, so turning ZI on cannot inflate it","1 site(s)","1 site on lambda_Ctot_S","PASS","lambda_C is fitted to the non-inflated component and rises to absorb the zeros theta_C removes, so an unscaled total would be inflated by 1/(1 - theta_C) purely by turning the feature on. The pooled model has done this since 2026-09-02."
"G0","every variable the gear Stan declares is built in prep_bss_crab_gear.R","118 declared, 0 missing","0 missing","PASS","The 2026-08-25 batch declared five variables that no prep built; Stan failed at data initialization on every fit, rstan returned an empty stanfit instead of raising, and every fit of every rung was lost to it. Missing: none"
"G2","differs from G1 in DECLARED keys only","differs in: gear_period_bss","a subset of {gear_period_bss, catch_zi_tracks}","PASS","A rung that differs in an undeclared key measures that key as well as its own, and nothing in the output would say so. Undeclared here: none"
"G3","differs from G1 in DECLARED keys only","differs in: gear_period_bss","a subset of {gear_period_bss, catch_zi_tracks}","PASS","A rung that differs in an undeclared key measures that key as well as its own, and nothing in the output would say so. Undeclared here: none"
"G4","differs from G1 in DECLARED keys only","differs in: gear_period_bss","a subset of {gear_period_bss, catch_zi_tracks}","PASS","A rung that differs in an undeclared key measures that key as well as its own, and nothing in the output would say so. Undeclared here: none"
"G5","differs from G1 in DECLARED keys only","differs in: catch_zi_tracks, gear_period_bss","a subset of {gear_period_bss, catch_zi_tracks}","PASS","A rung that differs in an undeclared key measures that key as well as its own, and nothing in the output would say so. Undeclared here: none"
"G1","the requested all-gear period reaches build_subseasons(), and pot closure does not move","all_gear = month, pot_closure = biweekly","all_gear = month, pot_closure = biweekly","PASS","gear_period_bss is read inside build_subseasons() and handed to the driver as fixed_resolution. If it did not arrive, the rung would fit at the default and report itself as the resolution it asked for, which is the one failure mode of this ladder that would not announce itself."
"G2","the requested all-gear period reaches build_subseasons(), and pot closure does not move","all_gear = biweekly, pot_closure = biweekly","all_gear = biweekly, pot_closure = biweekly","PASS","gear_period_bss is read inside build_subseasons() and handed to the driver as fixed_resolution. If it did not arrive, the rung would fit at the default and report itself as the resolution it asked for, which is the one failure mode of this ladder that would not announce itself."
"G3","the requested all-gear period reaches build_subseasons(), and pot closure does not move","all_gear = weekly, pot_closure = biweekly","all_gear = weekly, pot_closure = biweekly","PASS","gear_period_bss is read inside build_subseasons() and handed to the driver as fixed_resolution. If it did not arrive, the rung would fit at the default and report itself as the resolution it asked for, which is the one failure mode of this ladder that would not announce itself."
"G4","the requested all-gear period reaches build_subseasons(), and pot closure does not move","all_gear = daily, pot_closure = biweekly","all_gear = daily, pot_closure = biweekly","PASS","gear_period_bss is read inside build_subseasons() and handed to the driver as fixed_resolution. If it did not arrive, the rung would fit at the default and report itself as the resolution it asked for, which is the one failure mode of this ladder that would not announce itself."
"G5","the requested all-gear period reaches build_subseasons(), and pot closure does not move","all_gear = weekly, pot_closure = biweekly","all_gear = weekly, pot_closure = biweekly","PASS","gear_period_bss is read inside build_subseasons() and handed to the driver as fixed_resolution. If it did not arrive, the rung would fit at the default and report itself as the resolution it asked for, which is the one failure mode of this ladder that would not announce itself."
"G5","the D6 pair (G3 vs G5) differs in catch_zi_tracks ONLY","differs in: catch_zi_tracks","catch_zi_tracks","PASS","A paired elpd is only a paired elpd if the two fits differ in one thing. The pooled adoption's Z1/Z0 pair was compared at a COMMON weekly resolution for exactly this reason, after an earlier comparison at different resolutions had to be retracted."
"G0","the reference render gear-type-CPUE-model-IMP-R5-gear-crosscheck-newf is present","present","present","PASS","G1's bit-identity verdict reads the R5 folder and the cross-track columns read the pooled R4 folder. Without them those verdicts are skipped, not wrong, but the D6 Stan edit then has no inertness proof."
"G0","the reference render pooled-CPUE-IMP-R4-shore-tau-newf is present","present","present","PASS","G1's bit-identity verdict reads the R5 folder and the cross-track columns read the pooled R4 folder. Without them those verdicts are skipped, not wrong, but the D6 Stan edit then has no inertness proof."
"G0","the SHIPPED config still fits the gear track without ZI","catch_zi_tracks = pooled","pooled","PASS","The D6 Stan port is inert until this key names this track. If it shipped as both, the next production gear render would silently change and the committed R5 cross-check figure quoted in PULL_REQUEST.md would go stale without anyone touching a number."
"G0","the SHIPPED gear all-gear period is still month","gear_period_bss$all_gear = month","month","PASS","Same promise for D3: the lever is exposed, not moved."
"G1","the fit used the resolution the rung asked for","requested month, fitted monthly (P_n = 10)","fitted = monthly","PASS","Read from ar_escalation_log.csv, which records what the sampler was actually given. A rung that fell back would otherwise report itself as the resolution it requested and sit in the ladder as a duplicate of another rung."
"G1","every fit in the rung passes the convergence gate","4 of 4 fits report BSS; gate all-pass = TRUE","all fits pass","PASS","Decision rule 1. A rung whose fits do not sample is not a candidate resolution, whatever its adequacy statistics say: the gate is the single authority on method selection and a PE fallback inside a rung makes its port total a different estimator from the other rungs'."
"G1","adequacy: p_loo is a small fraction of n_obs and few Pareto k are bad","p_loo_frac 0.0368 (worst stream gear); 0 bad k of 1,651 obs (0.0%); PIT bias 0.0080; cov50 dev 0.0788; min disp n_eff 9,443","p_loo_frac <= 0.15 and bad k <= 5% of n_obs","PASS","Decision rule 2, calibrated on the pooled ladder: the daily fit that was rejected as overfitted sat at p_loo 0.352 with 41 bad k; the weekly fit that replaced it at 0.095 with 0; the gear R5 monthly fit at 0.0368 with 0. p_loo far above the number of parameters the model actually has is the signature of a latent process being fitted to individual observations."
"G1","REPORTED, NOT A CRITERION: the cross-track shore all-gear gap","gear 28,334 vs pooled R4 29,210 (-3.00%); port 93,278 vs 94,376 (-1.16%)","no threshold; see decision rule 5","INFO","Decision rule 5. Agreement between the two tracks at a COMMON resolution is a corroboration of the fishery model; choosing this track's resolution so as to minimize the gap would tune one estimate to another estimate instead of to the data, and would make the corroboration circular. It is printed so the reader can see the gap close, and excluded from the recommendation by construction."
"G3","the fit used the resolution the rung asked for","requested weekly, fitted weekly (P_n = 44)","fitted = weekly","PASS","Read from ar_escalation_log.csv, which records what the sampler was actually given. A rung that fell back would otherwise report itself as the resolution it requested and sit in the ladder as a duplicate of another rung."
"G3","every fit in the rung passes the convergence gate","4 of 4 fits report BSS; gate all-pass = TRUE","all fits pass","PASS","Decision rule 1. A rung whose fits do not sample is not a candidate resolution, whatever its adequacy statistics say: the gate is the single authority on method selection and a PE fallback inside a rung makes its port total a different estimator from the other rungs'."
"G3","adequacy: p_loo is a small fraction of n_obs and few Pareto k are bad","p_loo_frac 0.0938 (worst stream gear); 0 bad k of 1,651 obs (0.0%); PIT bias 0.0098; cov50 dev 0.0627; min disp n_eff 10,161","p_loo_frac <= 0.15 and bad k <= 5% of n_obs","PASS","Decision rule 2, calibrated on the pooled ladder: the daily fit that was rejected as overfitted sat at p_loo 0.352 with 41 bad k; the weekly fit that replaced it at 0.095 with 0; the gear R5 monthly fit at 0.0368 with 0. p_loo far above the number of parameters the model actually has is the signature of a latent process being fitted to individual observations."
"G3","REPORTED, NOT A CRITERION: the cross-track shore all-gear gap","gear 29,266 vs pooled R4 29,210 (0.19%); port 102,430 vs 94,376 (8.53%)","no threshold; see decision rule 5","INFO","Decision rule 5. Agreement between the two tracks at a COMMON resolution is a corroboration of the fishery model; choosing this track's resolution so as to minimize the gap would tune one estimate to another estimate instead of to the data, and would make the corroboration circular. It is printed so the reader can see the gap close, and excluded from the recommendation by construction."
"G2","the fit used the resolution the rung asked for","requested biweekly, fitted biweekly (P_n = 21)","fitted = biweekly","PASS","Read from ar_escalation_log.csv, which records what the sampler was actually given. A rung that fell back would otherwise report itself as the resolution it requested and sit in the ladder as a duplicate of another rung."
"G2","every fit in the rung passes the convergence gate","4 of 4 fits report BSS; gate all-pass = TRUE","all fits pass","PASS","Decision rule 1. A rung whose fits do not sample is not a candidate resolution, whatever its adequacy statistics say: the gate is the single authority on method selection and a PE fallback inside a rung makes its port total a different estimator from the other rungs'."
"G2","adequacy: p_loo is a small fraction of n_obs and few Pareto k are bad","p_loo_frac 0.0568 (worst stream gear); 0 bad k of 1,651 obs (0.0%); PIT bias 0.0100; cov50 dev 0.0572; min disp n_eff 10,544","p_loo_frac <= 0.15 and bad k <= 5% of n_obs","PASS","Decision rule 2, calibrated on the pooled ladder: the daily fit that was rejected as overfitted sat at p_loo 0.352 with 41 bad k; the weekly fit that replaced it at 0.095 with 0; the gear R5 monthly fit at 0.0368 with 0. p_loo far above the number of parameters the model actually has is the signature of a latent process being fitted to individual observations."
"G2","REPORTED, NOT A CRITERION: the cross-track shore all-gear gap","gear 29,500 vs pooled R4 29,210 (0.99%); port 98,568 vs 94,376 (4.44%)","no threshold; see decision rule 5","INFO","Decision rule 5. Agreement between the two tracks at a COMMON resolution is a corroboration of the fishery model; choosing this track's resolution so as to minimize the gap would tune one estimate to another estimate instead of to the data, and would make the corroboration circular. It is printed so the reader can see the gap close, and excluded from the recommendation by construction."
"G4","the fit used the resolution the rung asked for","requested daily, fitted daily (P_n = 289)","fitted = daily","PASS","Read from ar_escalation_log.csv, which records what the sampler was actually given. A rung that fell back would otherwise report itself as the resolution it requested and sit in the ladder as a duplicate of another rung."
"G4","every fit in the rung passes the convergence gate","4 of 4 fits report BSS; gate all-pass = TRUE","all fits pass","PASS","Decision rule 1. A rung whose fits do not sample is not a candidate resolution, whatever its adequacy statistics say: the gate is the single authority on method selection and a PE fallback inside a rung makes its port total a different estimator from the other rungs'."
"G4","adequacy: p_loo is a small fraction of n_obs and few Pareto k are bad","p_loo_frac 0.3453 (worst stream gear); 39 bad k of 1,651 obs (2.4%); PIT bias 0.0016; cov50 dev 0.2010; min disp n_eff 3,585","p_loo_frac <= 0.15 and bad k <= 5% of n_obs","FAIL","Decision rule 2, calibrated on the pooled ladder: the daily fit that was rejected as overfitted sat at p_loo 0.352 with 41 bad k; the weekly fit that replaced it at 0.095 with 0; the gear R5 monthly fit at 0.0368 with 0. p_loo far above the number of parameters the model actually has is the signature of a latent process being fitted to individual observations."
"G4","REPORTED, NOT A CRITERION: the cross-track shore all-gear gap","gear 29,266 vs pooled R4 29,210 (0.19%); port 105,756 vs 94,376 (12.06%)","no threshold; see decision rule 5","INFO","Decision rule 5. Agreement between the two tracks at a COMMON resolution is a corroboration of the fishery model; choosing this track's resolution so as to minimize the gap would tune one estimate to another estimate instead of to the data, and would make the corroboration circular. It is printed so the reader can see the gap close, and excluded from the recommendation by construction."
"G5","the fit used the resolution the rung asked for","requested weekly, fitted weekly (P_n = 44)","fitted = weekly","PASS","Read from ar_escalation_log.csv, which records what the sampler was actually given. A rung that fell back would otherwise report itself as the resolution it requested and sit in the ladder as a duplicate of another rung."
"G5","every fit in the rung passes the convergence gate","4 of 4 fits report BSS; gate all-pass = TRUE","all fits pass","PASS","Decision rule 1. A rung whose fits do not sample is not a candidate resolution, whatever its adequacy statistics say: the gate is the single authority on method selection and a PE fallback inside a rung makes its port total a different estimator from the other rungs'."
