"stage","criterion","observed","threshold","verdict","why"
"A1","fake fitted criterion","x","y","PASS","z"
"P1","aligning the PE onto the BSS arm moves only the boat, and moves it little","largest change -0.059% (private_boat_all_gear); shore components unchanged, as they must be","boat only, and under 1%","PASS","Two arms of one fused estimator disagreeing about which interviews count is a documented inconsistency a reviewer asks about first, and the desk read on 2026-09-01 sized it at 3.552 against 3.550 gear per boat group. The shore is the control here: the alignment touches the boat gear-per-group ratio only, and the shore PE has no such ratio, so any shore movement means the shared helper is reaching further than intended. A change under 1% on the boat is the expected result and is why this is a CONSISTENCY fix rather than an accuracy one; the reason to make it is that there is no estimate to defend, only an inconsistency to remove."
"G1","the gear boat all-gear fit samples now that it has per-fit settings","method BSS; divergences 2 (was 554); tau_bar n_eff 19,292 (was 49); port 70,953 (was 51,385, S3 with the experiment override 70,886)","method_selected == BSS","PASS","Until this run the gear-resolved port total read 51,385 because the boat all-gear fit was rejected and the component fell back to PE, a 27% understatement of the cross-check that validates the pooled headline. The 2026-08-30 Stage 5 batch had already demonstrated the fix and left it in an EXPERIMENT-only override, so production never received it. A PASS here means the fix is in the driver where it belongs and the two tracks can be compared again. A FAIL would mean the driver edit does not reach the fit, which the pre-flight tries to catch first."
"G1","cross-track agreement is restored","gear port 70,953 vs pooled production 71,513 (-0.78%); gear boat all-gear 30,760 vs pooled 31,008; tau_bar 2.5962 vs 2.5962","within about 1% at the port, as the 2026-08-26 shipped pair was (0.73%)","PASS","Two independently parameterized CPUE structures fitting the same data. This is the strongest internal check the project has, and it has been unavailable since the shared turnover was adopted because one side could not sample. Read tau_bar alongside the totals: on 2026-08-30 the two tracks agreed on it to 0.03%, which is what makes the shared turnover a property of the data rather than of the pooled parameterization."
"Z0","the ZINB edit is behaviour-neutral with the feature off","all four fits vs 2026-08-31 production: 11223 shared parameter rows across 8 summaries identical at full precision; configs differ in 14 key(s): ar_escalate_select, ar_escalate_stop, catch_zi_populations, estimate_catch_zi, fishery_opener_dates_file, fishery_opener_sheet, opener_candidates_boat, opener_candidates_shore, opener_covariate_mode, opener_manual_boat, opener_manual_shore, pe_gear_ratio_arm, zi_catch_prior_a, zi_catch_prior_b  <-- 9 UNEXPECTED: ar_escalate_select, ar_escalate_stop, fishery_opener_dates_file, fishery_opener_sheet, opener_candidates_boat, opener_candidates_shore, opener_covariate_mode, opener_manual_boat, opener_manual_shore","every shared parameter row identical at full precision","PASS","theta_C is declared vector<lower=0,upper=1>[zi_catch], so it is zero-size when the feature is off and the unconstrained parameter vector is unchanged. That is the same guard pattern shared_tau and f_lower use and it has held both times, but the project's own rule is to validate by run rather than by reasoning: a change that looks inference-neutral on paper can still perturb the sampler geometry. This is also the ladder's daily rung, so a FAIL costs the ladder its comparison against the pre-edit production run as well as costing Z1 its interpretation."
"A1","the escalation scope reaches shore all-gear and nothing else","shore POT CLOSURE fits vs Z0: 1449 shared parameter rows across 2 summaries identical at full precision; configs differ in 2 key(s): ar_escalate, ar_escalate_stop | BOAT fits vs Z0: 4002 shared parameter rows across 4 summaries identical at full precision; configs differ in 2 key(s): ar_escalate, ar_escalate_stop","the other three fits bit-identical to Z0","PASS","`ar_escalate` accepts a per-population and per-sub-season scope as of 2026-09-04, and this is its first use. A scope that reaches further than intended produces a number that looks like a finding: that is exactly what happened on 2026-08-28 when an ar_force keyed per population silently forced a second sub-season and moved a component 3,025 crab. The boat half also protects the headline, since the boat is about 43% of the port total and nothing in this ladder should move it."
"A1-A3","every rung actually reported its BSS","rung(s) whose shore all-gear fit was REJECTED and fell back to PE: daily, daily, daily","all rungs report BSS","REVIEW","A rejected rung's BSS_catch is a value the run did not report, so it cannot be ranked against the others on catch. Its ADEQUACY columns are still readable and still informative: a rung that samples badly enough to fail the gate is telling you something about the resolution, which is the point of the ladder."
"A1-A3","where does the shore all-gear effort process actually belong?","daily (pre-edit production): p_loo 35.2% of n_obs, k>0.7 41, gear cov50 0.701 (+7.1 SD), gear elpd -1,251.3, catch elpd -3,162.5, shore catch 20,898 | daily: p_loo NA% of n_obs, k>0.7 NA, gear cov50   NA (NA SD), gear elpd NA, catch elpd NA, shore catch 20,898 | daily: p_loo NA% of n_obs, k>0.7 NA, gear cov50   NA (NA SD), gear elpd NA, catch elpd NA, shore catch 20,898 | daily: p_loo NA% of n_obs, k>0.7 NA, gear cov50   NA (NA SD), gear elpd NA, catch elpd NA, shore catch 20,898 | daily (REPORTED): p_loo NA% of n_obs, k>0.7 NA, gear cov50   NA (NA SD), gear elpd NA, catch elpd NA, shore catch 20,898","best calibrated rung, read together with p_loo and the catch stream","BEST COVERAGE: daily (pre-edit production) | BEST GEAR elpd: daily (pre-edit production)","THE QUESTION THIS BATCH EXISTS FOR. Production fits this component at daily and it is the worst-behaved fit in the production run: p_loo 35.2% of n_obs, 41 Pareto k above 0.7, coverage_50 0.701 at +7.1 sampling SDs. The gear track fits it at monthly and gets coverage_50 0.035, -16.4 SDs, so both ends are bad. Read this ladder the way the Stage 5 boat 2x2 was read, and in this order: (1) COVERAGE first, because it is the statistic a reader can interpret without knowing what a PIT is and the one that separated the boat cells; (2) p_loo as a fraction of n_obs and the Pareto k count, because a rung that buys elpd by spending effective parameters at about one nat each is buying noise; (3) the CATCH stream's elpd, because the boat's daily AR improved the effort stream while making the catch stream worse, and catch is what the harvest estimate is made of. A rung that wins on all three is the answer. If the winner is not daily, the ar_max_resolution entry for shore all-gear should change and the shore component of the published estimate moves with it, so this is a number-moving decision and needs sign-off rather than a silent config edit."
"Z1","does a structural-zero component earn its parameter on the shore catch stream?","theta_C = 0.1790 [0.1248, 0.2254]; shore pot closure theta_C = 0.1069; catch elpd -3,162.5 -> -3,147.8 (+14.8 nats for 1 parameter)","an elpd gain of at least 2 SE, and a theta_C interval excluding zero","NOT WORTH IT","The 2026-09-01 zero bin put the shore all-gear catch stream at 676 observed zeros against 605.4 expected, z = +3.8 on n = 1,649, with the shore pot closure agreeing at z = +2.9 and every boat stream inside |z| = 2.3. So the target was chosen from data rather than from taste, and the available gain is bounded by roughly 70 observations out of 1,649. THE THRESHOLD IS IN SE UNITS, not nats: loo_summary carries se_elpd_loo and an elpd difference is only evidence when it is large relative to its own standard error, which for a stream of this size is typically tens of nats. A gain above 2 SE is a clearly good trade for one parameter; between 1 and 2 SE is a judgement call; below 1 SE is fitting noise. The shore POT CLOSURE fit is the internal replicate: an independent fit on different data that should land near the same theta_C if the effect is real."
"Z1","the zero bin closes on the treated stream","shore all-gear zeros: 676 observed vs 419.0 expected (z = 15.4), was 676 vs 605.4 (z = 3.8)","|z| under about 2","REVIEW","The direct test that the feature does what it was added for. A theta_C with a good elpd gain but an unchanged zero bin would mean the parameter is absorbing something else. Note this is an IN-SAMPLE check on the quantity the parameter was fitted to, so it cannot by itself justify adoption; it is the necessary condition, and the elpd criterion above is the sufficient one."
