"stage","criterion","observed","threshold","verdict","why"
"D0","ZINB elpd on shore_all_gear, split by COUNT SIZE","y=0 n=676 +25.2 (11.6 SE, 0% of catch) | y=1 n=236 -42.0 (-16.7 SE, 6% of catch) | y=2 n=161 -6.6 (-4.5 SE, 8% of catch) | y=3-4 n=239 +14.3 (10.9 SE, 20% of catch) | y=5-8 n=230 +18.1 (11.8 SE, 34% of catch) | y=9-16 n=91 +5.6 (4.6 SE, 25% of catch) | y=17+ n=16 +0.1 (0.2 SE, 8% of catch)","read as a whole","MISFIT MIGRATED","2026-09-05. The two-way zero/positive split said 'positives -10.5' and that was read as the harvest-carrying counts getting worse. It is not: y=1 loses -42.0 at 16.7 SE, y=2 loses -6.6, and every bin from 3 up IMPROVES, with the 3+ bins carrying 87% of the catch. r_C doubles (0.95 -> 1.83): once theta absorbs structural zeros the NB2 no longer needs extreme overdispersion to reach zero, so it tightens, fitting the mid and upper counts better and the almost-zero count of 1 worse. The ZINB has MOVED the misfit from the 0 bin to the 1 bin. Excess mass at 0 AND 1 relative to NB2 is the signature of a two-regime process (unsuccessful trips yielding 0-1 crab against successful ones), which a hurdle or a two-component mixture fits and a ZINB cannot."
"D0","ZINB elpd on shore_all_gear, scored against the PAIRED difference SE","elpd -3162.5 -> -3147.7, diff +14.8, paired SE 5.5 (2.69 SE); naive per-fit SE would have read 46.3. Split: zeros n=676 +25.2 (11.6 SE), positives n=973 -10.5 (-2.1 SE). Pareto k>0.7: 0 -> 0","at least 2 SE","WORTH IT","The 2026-09-03 batch compared the elpd difference against se_elpd_loo, the SE of ONE model's total. That quantity is dominated by variation ACROSS observations, which is common to both models and cancels in the difference; the model-comparison statistic is sd(d) * sqrt(n) on the paired per-observation differences (Vehtari, Gelman & Gabry 2017, Stat Comput 27:1413-1432, sec 3.3). READ THE ZERO/POSITIVE SPLIT, not just the total: a mixture that earns its elpd at the zeros while degrading the positive counts is a different object from one that fits better everywhere, and the harvest estimate is made of the positives."
"D0","ZINB elpd on shore_ring_net_only, split by COUNT SIZE","y=0 n=146 +19.0 (8.9 SE, 0% of catch) | y=1 n=81 -20.4 (-11.9 SE, 3% of catch) | y=2 n=73 -6.3 (-5.1 SE, 6% of catch) | y=3-4 n=108 +3.7 (4.0 SE, 16% of catch) | y=5-8 n=160 +11.8 (10.5 SE, 42% of catch) | y=9-16 n=51 +0.9 (0.8 SE, 25% of catch) | y=17+ n=8 +0.4 (1.0 SE, 8% of catch)","read as a whole","MISFIT MIGRATED","2026-09-05. The two-way zero/positive split said 'positives -10.5' and that was read as the harvest-carrying counts getting worse. It is not: y=1 loses -42.0 at 16.7 SE, y=2 loses -6.6, and every bin from 3 up IMPROVES, with the 3+ bins carrying 87% of the catch. r_C doubles (0.95 -> 1.83): once theta absorbs structural zeros the NB2 no longer needs extreme overdispersion to reach zero, so it tightens, fitting the mid and upper counts better and the almost-zero count of 1 worse. The ZINB has MOVED the misfit from the 0 bin to the 1 bin. Excess mass at 0 AND 1 relative to NB2 is the signature of a two-regime process (unsuccessful trips yielding 0-1 crab against successful ones), which a hurdle or a two-component mixture fits and a ZINB cannot."
"D0","ZINB elpd on shore_ring_net_only, scored against the PAIRED difference SE","elpd -1450.0 -> -1440.9, diff +9.1, paired SE 4.6 (1.96 SE); naive per-fit SE would have read 21.8. Split: zeros n=146 +19.0 (8.9 SE), positives n=481 -10.0 (-2.6 SE). Pareto k>0.7: 0 -> 0","at least 2 SE","MARGINAL","The 2026-09-03 batch compared the elpd difference against se_elpd_loo, the SE of ONE model's total. That quantity is dominated by variation ACROSS observations, which is common to both models and cancels in the difference; the model-comparison statistic is sd(d) * sqrt(n) on the paired per-observation differences (Vehtari, Gelman & Gabry 2017, Stat Comput 27:1413-1432, sec 3.3). READ THE ZERO/POSITIVE SPLIT, not just the total: a mixture that earns its elpd at the zeros while degrading the positive counts is a different object from one that fits better everywhere, and the harvest estimate is made of the positives."
"D0","ZINB zero bin on shore_all_gear, scored under the MIXTURE","theta_C 0.1780; 676 observed zeros vs 637.9 expected, z = +2.0 (as reported under NB2: 419.0, z = +15.4; NB2 baseline: 605.5, z = +3.8)","|z| under about 2","PASS","pit_block() and calib() computed the catch stream's PIT, coverage and p_zero from a plain NB2 while the fit was a mixture, so theta_C was excluded from the model's own zero probability. Under the mixture P(Y=0) = theta + (1-theta)*NB2(0). elpd was never affected: Stan's log_lik carried the mixture from the start. NOTE the approximation: this uses E[theta]*E[p0] in place of E[theta*p0] because the committed files hold only the marginal means. Stage Z2 renders the exact value."
"D0","ZINB zero bin on shore_ring_net_only, scored under the MIXTURE","theta_C 0.1072; 146 observed zeros vs 138.1 expected, z = +0.8 (as reported under NB2: 79.4, z = +8.3; NB2 baseline: 118.8, z = +2.9)","|z| under about 2","PASS","pit_block() and calib() computed the catch stream's PIT, coverage and p_zero from a plain NB2 while the fit was a mixture, so theta_C was excluded from the model's own zero probability. Under the mixture P(Y=0) = theta + (1-theta)*NB2(0). elpd was never affected: Stan's log_lik carried the mixture from the start. NOTE the approximation: this uses E[theta]*E[p0] in place of E[theta*p0] because the committed files hold only the marginal means. Stage Z2 renders the exact value."
"D0","did the 2026-09-03 ladder produce distinct rungs?","4 attempts, 1 DISTINCT resolution(s): daily; catch_median values: 20897.819; all pass_convergence = TRUE","one distinct resolution per attempt","FAIL","The A1 stage's ar_escalate was list(shore = ""all_gear"") and the driver gated force_resolution on isTRUE(), which is FALSE for a list. The ladder was built correctly and the loop ran the right number of attempts; only the resolution failed to reach the data prep. Note pass_convergence = TRUE on every attempt, so the batch's separate claim that rungs were REJECTED and fell back to PE was also wrong: it inferred rejection from per-rung adequacy columns that only the REPORTED fit ever writes."
"L1","the ladder produced one DISTINCT resolution per rung","3 attempts: weekly, biweekly, monthly; P_n: 44, 21, 10","no two rungs share a resolution","PASS","This is the assertion whose absence let the 2026-09-03 batch burn 14.7 h refitting one model four times. Identical P_n across rungs is the cheapest tell and is checked here as well as the resolution string."
"L1","where does the shore all-gear effort process actually belong?","daily (from 20260901/pooled-CPUE-SZ-Z0-zi-off): catch 20,897.8 [18,186.5, 24,402.4], PI rel 0.2974, div 333 | weekly: catch 21,547.3 [19,075.9, 24,527.6], PI rel 0.2530, div 313, gate TRUE | biweekly: catch 21,382.9 [19,142.8, 24,041.3], PI rel 0.2291, div 212, gate TRUE | monthly: catch 20,770.8 [18,627.6, 23,216.7], PI rel 0.2209, div 152, gate TRUE","finest rung that passes the gate; narrowest PI only as a tie-break","READ","THE QUESTION THIS BATCH EXISTS FOR, asked properly for the first time. Production fits this component at daily and it is the worst-behaved fit in the production run: p_loo 35.2% of n_obs, 41 Pareto k above 0.7, coverage_50 0.701 at +7.1 sampling SDs. The gear track fits it at monthly and gets coverage_50 0.035 at -16.4 SDs. Both ends are bad, so the answer is probably between them and the ladder is how it is found. DECISION RULE, as agreed: escalate on the BSS convergence gate and report the finest rung that PASSES. Use the narrowest relative prediction interval only to break a tie, and note the caution from the Stage 5 boat 2x2, where the two MISCALIBRATED cells had the narrowest relative intervals: a narrow interval from a badly calibrated fit is false precision, so check cov50 and the Pareto k count on any rung a PI tie-break selects. If the answer is not daily, ar_max_resolution for shore all-gear should change; nothing is published, so this is a change to a working estimate, not to a released one."
"L1","adequacy of the REPORTED rung, read beside the gate and never as a gate","p_loo 9.6% of n_obs (daily was 35.2%), Pareto k>0.7 1 (was 41), worst cov50 dev 0.0691 on gear, miscalibrated flag FALSE","informational","INFO","The convergence gate answers 'did this fit sample'. It does not answer 'is this model right'. p_loo at 35% of n_obs on the daily rung means the fit is spending about one effective parameter per three observations, which is the signature of an AR that is too fine for the data to identify, and it is invisible to the gate."
