"mode","subseason","month","PE_catch","BSS_catch_median","BSS_catch_lo95","BSS_catch_hi95","PE_effort","BSS_effort_median","BSS_effort_lo95","BSS_effort_hi95"
"private_boat","all_gear","2024-12",930.885657273766,988.926713784834,556.909244027207,1751.91683815741,303.400427752984,245.090843859756,144.857775171428,415.706527196812
"private_boat","all_gear","2025-01",710.412738445768,742.109591876686,395.056590463553,1421.56538625602,231.542431706225,188.850023217068,111.083433783984,336.086593219781
"private_boat","all_gear","2025-02",220.472918827997,162.924678288551,53.2445511563099,431.126748432417,71.8579960467594,79.2525339888566,35.1857297430075,159.269344548645
"private_boat","all_gear","2025-03",502.188315108216,620.428532767676,282.511212296289,1494.11219504243,163.676546550952,180.174238207601,98.5604255787218,316.173879654498
"private_boat","all_gear","2025-04",1727.03786415264,1307.71899295532,637.577410296944,2792.96337341106,562.887635699616,665.346389143076,402.913626196928,1073.30694488904
"private_boat","all_gear","2025-05",2960.05307685737,5594.2406935261,3020.52418270698,10630.4155153342,964.76013210927,1311.61367825385,859.729745684443,2018.65741767044
"private_boat","all_gear","2025-06",792.06937504873,1990.5400841594,810.69325455218,5026.11493455582,258.156504316136,784.525581952707,434.541976968825,1485.96315369547
"private_boat","all_gear","2025-07",7496.0792401519,9582.47360555266,4372.84419026315,22003.8734714937,2443.17186558982,3851.1857307616,2413.68000771508,6590.52421113155
"private_boat","all_gear","2025-08",14849.2593662486,16379.983773953,9785.31743502608,28604.5917866013,4839.7691041123,4984.6711281448,3517.61741983313,7402.82574527158
"private_boat","all_gear","2025-09",6279.39535476777,4227.93372756371,1766.5281643387,9580.61903211282,2046.62218370215,2089.37342174875,1329.00478738262,3432.46724108433
"shore","all_gear","2024-12",2114.34126753546,2595.44142332477,1965.67775872639,3490.02889423632,2443.61519560325,2030.4927218035,1637.7216193262,2588.85390899247
"shore","all_gear","2025-01",1773.98643482358,1420.1112270018,1046.32271377985,1964.66797451252,2050.2556874283,2283.1923812806,1811.25749998681,2973.43771906865
"shore","all_gear","2025-02",988.591694433683,799.777422594381,542.704114468746,1242.43240825236,1142.54861495523,1448.990240002,1108.67042692391,1940.27022432779
"shore","all_gear","2025-03",1376.6311085814,1206.22880577265,876.499196006996,1760.58364529132,1591.01879498895,1873.77306752697,1462.98696365098,2539.26191462829
"shore","all_gear","2025-04",1786.00245368373,2155.43408879545,1531.70894940153,3235.21229530754,2064.14300388387,2697.37318132837,2091.78585995394,3737.53479311985
"shore","all_gear","2025-05",1649.13952988021,2330.00099140092,1646.0219704918,3690.68790669818,1905.96592743167,2612.33351600528,1970.15579803535,3847.93560504265
"shore","all_gear","2025-06",714.870587329026,2253.20789759122,1371.7404880749,3968.56967863601,826.199940808625,2484.17311526767,1712.77254740362,3920.3919963704
"shore","all_gear","2025-07",1602.59450958672,2896.10417309988,1989.89821825419,4609.38021454272,1852.17228464789,3416.33565300255,2529.68635559815,5001.63604343242
"shore","all_gear","2025-08",2337.19266789339,2908.38228828646,2132.98886282041,4338.82994194054,2701.17204162312,3291.87681491003,2566.97500323535,4494.26926730849
"shore","all_gear","2025-09",1321.20766835887,1644.12039687861,1160.03144536695,2467.63646666233,1526.96406418465,1494.39146618395,1123.25094813378,2121.50165206356
"shore","ring_net_only","2024-09",1168.44777492486,1271.13814037764,899.989960560299,1892.34906144176,893.101787762454,1005.17112081871,731.588541228754,1476.94392128856
"shore","ring_net_only","2024-10",2529.06584680452,2549.87924706865,2015.12620151787,3316.30800752126,1933.08873329434,1919.8020470777,1527.62974954487,2423.08567337588
"shore","ring_net_only","2024-11",2171.1848895244,2364.60210020862,1808.23771652694,3154.49741607767,1659.54281227654,1799.22640609972,1399.24109345037,2346.27213491231
