season,date,survey_id,creel_area,count_time,total_gear_count,boat_trailer_count,vehicle_count,boats_entering_marina,buoy_count,crabber_count,jetty_people_count,notes
2024-25,9/17/2024,S4949,Westport Docks Float 20,11:45:00,28,0,0,0,0,0,0,
2024-25,9/17/2024,S4958,Chinook Boat Launch and Marina,13:28:00,0,0,1,0,0,0,0,No trailers 
2024-25,9/17/2024,S4958,Ilwaco Boat Launch,13:41:00,0,5,1,0,0,0,0,5 trailers 
2024-25,9/17/2024,S4958,Cape Disappointment State Park North Jetty,14:16:00,0,0,0,0,0,5,9,
2024-25,9/17/2024,S4958,Cape Disappointment State Park Boat Launch ,14:22:00,0,2,0,0,0,0,0,
2024-25,9/17/2024,S4955,Tokeland Boat Launch,11:08:00,0,0,0,0,0,0,0,
2024-25,9/17/2024,S4955,Tokeland Marina Docks,14:07:00,2,0,0,0,0,0,0,One pot that’s stuck in the mud or tangled around the pier on the dock right side. At 1115 one piece of gear. 
2024-25,9/17/2024,S4955,Tokeland Mud Flats,14:57:00,0,0,0,0,0,0,0,
2024-25,9/17/2024,S4952,Westport Boat Launch,10:56:00,0,5,0,0,0,0,0,
2024-25,9/17/2024,S4952,Westport Docks Float 17-21,11:25:00,2,0,0,0,0,0,0,
2024-25,9/18/2024,S4982,Cape Disappointment State Park Boat Launch ,13:31:00,0,9,0,0,0,0,0,
2024-25,9/18/2024,S4982,Chinook Boat Launch and Marina,8:22:00,0,2,1,0,0,0,0,2 are trailers 
2024-25,9/18/2024,S4982,Ilwaco Boat Launch,10:00:00,0,13,3,0,0,0,0,13 were trailers . Creeled 0830-1320.
2024-25,9/18/2024,S4982,Cape Disappointment State Park North Jetty,13:52:00,0,0,0,0,0,1,18,
2024-25,9/18/2024,S4979,Long Beach South (South of Bay Ave.),7:32:00,0,0,0,0,0,0,0,
2024-25,9/18/2024,S4976,Westport Docks Float 20,9:44:00,24,0,0,0,0,0,0,
2024-25,9/18/2024,S4973,Twin Harbors,7:16:00,0,0,0,0,0,0,0,Started at 0639
2024-25,9/18/2024,S4970,Westport Boat Launch,11:48:00,0,9,0,0,0,0,0,
2024-25,9/18/2024,S4970,Westport Docks Float 17-21,10:59:00,5,0,0,0,0,0,0,21 tailers
2024-25,9/18/2024,S4967,Copalis,8:13:00,0,0,0,0,0,2,0,
2024-25,9/18/2024,S4964,Tokeland Mud Flats,9:22:00,0,0,0,0,0,0,0,
2024-25,9/18/2024,S4964,Tokeland Boat Launch,12:09:00,0,1,0,0,0,0,0,
2024-25,9/18/2024,S4964,Tokeland Marina Docks,11:35:00,5,0,0,0,0,0,0,1 gear is derelict
2024-25,9/18/2024,S4961,Mocrocks,7:52:00,0,0,0,0,0,2,0,
2024-25,9/19/2024,S5006,Westport Docks Float 20,11:52:00,51,0,0,0,0,0,0,
2024-25,9/19/2024,S5003,Twin Harbors,7:43:00,0,0,0,0,0,3,0,
2024-25,9/19/2024,S5000,Cape Disappointment State Park Boat Launch ,13:53:00,0,8,0,0,0,0,0,
2024-25,9/19/2024,S5000,Ilwaco Boat Launch,13:43:00,0,14,4,0,0,0,0,14 trailers 
2024-25,9/19/2024,S5000,Chinook Boat Launch and Marina,10:57:00,0,5,7,0,0,0,0,5 trailers. Creeled 0855-1330.
2024-25,9/19/2024,S5000,Cape Disappointment State Park North Jetty,14:14:00,0,0,0,0,0,4,18,
2024-25,9/19/2024,S4997,Long Beach North (North of Bay Ave.),7:47:00,0,0,0,0,0,0,0,
2024-25,9/19/2024,S4994,Tokeland Mud Flats,10:01:00,0,0,0,0,0,3,0,3 crabbers 
2024-25,9/19/2024,S4994,Tokeland Boat Launch,13:00:00,0,2,0,0,0,0,0,One boat at 1003
2024-25,9/19/2024,S4994,Tokeland Marina Docks,13:01:00,0,0,0,0,0,0,0,Still have that one pot that is tangled or stuck in the mud on the right side of the dock on the lower half of the pier.   First effort was at 1016 w/ zero crabbers 
2024-25,9/19/2024,S4991,Mocrocks,8:12:00,0,0,0,0,0,0,0,2 tribal clam diggers
2024-25,9/19/2024,S4988,Westport Boat Launch,10:06:00,0,3,0,0,0,0,0,
2024-25,9/19/2024,S4988,Westport Docks Float 17-21,10:34:00,4,0,0,0,0,0,0,
2024-25,9/19/2024,S4985,Copalis,8:23:00,0,0,0,0,0,1,0,
2024-25,9/20/2024,S5021,Mocrocks,20:29:00,0,0,0,0,0,5,0,
2024-25,9/20/2024,S5018,Ocean Shores Boat Launch,14:11:00,0,0,0,0,0,0,0,Couple perch fishers on Pt Brown parked in lot but no one else
2024-25,9/20/2024,S5015,Chinook Boat Launch and Marina,9:04:00,0,6,7,0,0,0,0,6 trailers 
2024-25,9/20/2024,S5015,Ilwaco Boat Launch,9:19:00,0,10,4,0,0,0,0,10 trailers 
2024-25,9/20/2024,S5015,Cape Disappointment State Park Boat Launch ,9:33:00,0,10,0,0,0,0,0,
2024-25,9/20/2024,S5015,Cape Disappointment State Park North Jetty,12:04:00,0,0,0,0,0,10,27,Creeled 0937-1630.
2024-25,9/20/2024,S5012,Westport Boat Launch,10:04:00,0,1,0,0,0,0,0,
2024-25,9/20/2024,S5012,Westport Docks Float 17-21,10:21:00,1,0,0,0,0,0,0,
2024-25,9/20/2024,S5012,Westport Docks Float 20,12:30:00,28,0,0,0,0,0,0,
2024-25,9/20/2024,S5009,Tokeland Mud Flats,9:32:00,0,0,0,0,0,0,0,
2024-25,9/20/2024,S5009,Tokeland Boat Launch,10:10:00,0,5,0,0,0,0,0,
2024-25,9/20/2024,S5009,Tokeland Marina Docks,14:06:00,7,0,0,0,0,0,0,
2024-25,9/21/2024,S5030,Westport Docks Float 20,13:01:00,48,0,0,0,0,0,0,
2024-25,9/21/2024,S5027,Tokeland Mud Flats,9:51:00,0,0,0,0,0,0,0,"Thought there was one person crabbing (bucket and rake), waited for them to come off and they were only looking for cockles"
2024-25,9/21/2024,S5027,Tokeland Boat Launch,13:35:00,0,5,0,0,0,0,0,
2024-25,9/21/2024,S5027,Tokeland Marina Docks,13:55:00,11,0,0,0,0,0,0,Count includes a derelict pot. 2 gear on marina docks 
2024-25,9/21/2024,S5024,Chinook Boat Launch and Marina,9:01:00,0,8,9,0,0,0,0,8 trailers 
2024-25,9/21/2024,S5024,Ilwaco Boat Launch,9:18:00,0,14,7,0,0,0,0,14 trailers 
2024-25,9/21/2024,S5024,Cape Disappointment State Park Boat Launch ,13:09:00,0,15,0,0,0,0,0,Creeled 0940-1445 & 1520-1630. 3 trailers left.
2024-25,9/21/2024,S5024,Cape Disappointment State Park North Jetty,15:17:00,0,0,0,0,0,12,55,
2024-25,9/22/2024,S5033,Chinook Boat Launch and Marina,10:03:00,0,7,11,0,0,0,0,7 trailers 
2024-25,9/22/2024,S5033,Cape Disappointment State Park Boat Launch ,10:15:00,0,15,0,0,0,0,0,
2024-25,9/22/2024,S5033,Ilwaco Boat Launch,11:48:00,0,36,0,0,0,0,0,Creeled 1050-1630.
2024-25,9/22/2024,S5033,Cape Disappointment State Park North Jetty,17:00:00,0,0,0,0,0,2,25,
2024-25,9/24/2024,S5048,Westport Docks Float 20,12:11:00,48,0,0,0,0,0,0,
2024-25,9/24/2024,S5045,Tokeland Marina Docks,13:00:00,6,0,0,0,0,0,0,Including 1 derelict pot stuck
2024-25,9/24/2024,S5045,Tokeland Boat Launch,12:25:00,0,2,0,0,0,0,0,
2024-25,9/24/2024,S5042,Westport Boat Launch,9:25:00,0,3,0,0,0,0,0,
2024-25,9/24/2024,S5042,Westport Docks Float 17-21,13:25:00,2,0,0,0,0,0,0,First effort was taken at 9:40
2024-25,9/24/2024,S5039,Chinook Boat Launch and Marina,10:15:00,0,3,7,0,0,0,0,3 trailers 
2024-25,9/24/2024,S5039,Ilwaco Boat Launch,10:30:00,0,4,1,0,0,0,0,4 trailers 
2024-25,9/24/2024,S5039,Cape Disappointment State Park Boat Launch ,10:50:00,0,9,0,0,0,0,0,
2024-25,9/24/2024,S5039,Cape Disappointment State Park North Jetty,13:31:00,0,0,0,0,0,4,30,Creeled 1100-1415.
2024-25,9/24/2024,S5036,Nahcotta Boat Launch,9:40:00,0,0,0,0,0,0,0,
2024-25,9/24/2024,S5036,Nahcotta Docks,9:43:00,0,0,0,0,0,0,0,
2024-25,9/25/2024,S5060,Cape Disappointment State Park Boat Launch ,8:31:00,0,4,0,0,0,0,0,
2024-25,9/25/2024,S5057,Ilwaco Boat Launch,16:28:00,0,3,1,0,0,0,0,3 trailers. 0 crab boats
2024-25,9/25/2024,S5054,Tokeland Boat Launch,10:14:00,0,0,0,0,0,0,0,
2024-25,9/25/2024,S5054,Tokeland Marina Docks,12:50:00,5,0,0,0,0,0,0,Count includes 1 derelict pot
2024-25,9/25/2024,S5051,Westport Docks Float 20,11:33:00,13,0,0,0,0,0,0,
