"parameter","estimate","median","lo95","hi95","mean","n_eff","Rhat","decoupled","decoupled_reason","fit_method"
"mu_mu_E[1]",1.82470390698262,1.82470390698262,-0.425713042554764,4.33911097555666,1.86361657953164,4004,0.9998,FALSE,NA,"BSS"
"mu_mu_C[1]",0.501705147424772,0.501705147424772,-2.4409399029328,2.40737132651608,0.353150400452625,3905,0.9996,FALSE,NA,"BSS"
"sigma_eps_E",0.955950214229503,0.955950214229503,0.365063293443377,2.99509602361201,1.15068301242846,3754,1.0007,FALSE,NA,"BSS"
"sigma_eps_C",0.396098281485293,0.396098281485293,0.0166681503137685,2.25049450484756,0.582796543091544,5333,1.0002,FALSE,NA,"BSS"
"phi_E",0.122411382450564,0.122411382450564,-0.728847852724924,0.823224660221941,0.108525948754245,6696,0.9998,FALSE,NA,"BSS"
"phi_C",0.0616371428022283,0.0616371428022283,-0.753644243693309,0.814706965437279,0.0531849817008783,8894,0.9996,FALSE,NA,"BSS"
"sigma_r_E",0.817055490063239,0.817055490063239,0.493991981612575,1.21556039701887,0.827735859937258,8521,0.9996,FALSE,NA,"BSS"
"sigma_r_C",1.23457008346521,1.23457008346521,0.807787651750638,1.90327446313877,1.26893657729604,8151,0.9997,FALSE,NA,"BSS"
"r_E",1.49794861873733,1.49794861873733,0.676779283938028,4.09789259719823,1.72176615283292,4962,0.9999,FALSE,NA,"BSS"
"r_C",0.656097702999325,0.656097702999325,0.276055982394033,1.53251798505836,0.720172006231483,7951,0.9996,FALSE,NA,"BSS"
"sigma_mu_E",0.724271170710956,0.724271170710956,0.0294211931131722,5.70814565244491,1.17617895962544,4180,0.9999,FALSE,NA,"BSS"
"sigma_mu_C",0.774343130850261,0.774343130850261,0.0304423751790163,6.55429119122828,1.35688242606631,3311,1.001,FALSE,NA,"BSS"
"sigma_IE",NA,0.13870810427838,0.00554617233702475,0.719133698832932,0.197391764186628,9109,0.9995,TRUE,"no I/E observations in this fit (IE_n = 0); sigma_IE is its prior","BSS"
"R_G",1.34081267838796,1.34081267838796,0.739778568714301,2.42448533288305,1.4041242435526,9035,0.9999,FALSE,NA,"BSS"
"R_G_boat",2.94852725430315,2.94852725430315,2.24573526811912,3.79201668215943,2.96230797646234,11391,0.9995,FALSE,NA,"BSS"
"B1",0.96930997182339,0.96930997182339,0.468979160867072,1.4872320651598,0.972999399019981,8983,0.9995,FALSE,NA,"BSS"
"B2",-0.00377307884698003,-0.00377307884698003,-1.90724185361695,1.92885009739381,0.00561888629959726,10125,0.9998,FALSE,NA,"BSS"
"B1_C",0.0732613242569728,0.0732613242569728,-1.03825157167318,1.30628978051176,0.087574066330247,8543,1.0001,FALSE,NA,"BSS"
"B2_C",-0.0107266997767448,-0.0107266997767448,-1.88684366409514,1.87806966894961,-0.00866139075931791,11127,0.9996,FALSE,NA,"BSS"
"gamma_C",NA,0.00133532208608475,-1.96388778263627,1.94144222977813,-0.00109308781471699,9619,1.0004,TRUE,"estimate_cpue_density = 0: the density term is inert","BSS"
"kappa_OSP",NA,2.99132619443679,1.65526747483677,5.49728433065397,3.13222256479923,10431,0.9998,TRUE,"osp_scale_is_tau = 1: the OSP mean uses L, not kappa_OSP; this is the prior","BSS"
"sigma_r_OSP",0.667690526290591,0.667690526290591,0.434608059061825,1.03299266332001,0.683628340293221,7864,0.9998,FALSE,NA,"BSS"
"r_OSP",2.24310485877691,2.24310485877691,0.937142316476362,5.29425005049303,2.47136220454239,7087,0.9997,FALSE,NA,"BSS"
"f_crab[1]",0.292339696714691,0.292339696714691,0.127664051949765,0.508499519927122,0.299223639073136,10015,0.9995,FALSE,NA,"BSS"
"f_lower[1]",NA,0,0,0,0,NA,NA,TRUE,"osp_crab_lower = 0: the OSP lower bound is off and f_lower is pinned at 0","BSS"
"sigma_f_out",NA,0,0,0,0,NA,NA,TRUE,"crab_fraction_dynamic = 0 (or f pinned/off): the dynamic f is not in the model","BSS"
"cfi_kappa_out",NA,0,0,0,0,NA,NA,TRUE,"crab_fraction_dynamic = 0 (or f pinned/off): the dynamic f is not in the model","BSS"
"combo_c_out[1]",NA,0,0,0,0,NA,NA,TRUE,"crab_fraction_dynamic = 0 (or f pinned/off): the dynamic f is not in the model","BSS"
"sigma_c_out",NA,0,0,0,0,NA,NA,TRUE,"crab_fraction_dynamic = 0 (or f pinned/off): the dynamic f is not in the model","BSS"
"cfc_kappa_out",NA,0,0,0,0,NA,NA,TRUE,"crab_fraction_dynamic = 0 (or f pinned/off): the dynamic f is not in the model","BSS"
"tau_bar[1]",2.86469551991565,2.86469551991565,1.78518957038072,4.6753926026652,2.96142700905322,7398,1,FALSE,NA,"BSS"
