"Series","Opener","adj_estimate","se","ci_lo","ci_hi","adj_p","note"
"Shore gear (effort)","MA2 salmon open",-3.18622395962458,52.9672618425078,-107.00205717094,100.629609251691,0.952098878230824,""
"Shore gear (effort)","MA2 halibut open",16.3164456537652,16.3299785270026,-15.6903122591599,48.3232035666904,0.319045623707754,""
"Shore gear (effort)","MA2 bottomfish open",24.2823553314998,15.7579335012604,-6.60319433097059,55.1679049939702,0.125072821937146,""
"Shore gear (effort)","Razor dig (nearby beaches)",17.1228639951405,7.83972984326622,1.75699350233868,32.4887344879423,0.0302396977490208,""
"Boat trailers (effort)","MA2 salmon open",-10.7653872648382,22.06236345524,-54.0076196371085,32.4768451074321,0.626212162916269,""
"Boat trailers (effort)","MA2 halibut open",29.3942886179637,6.55556547577348,16.5453802854477,42.2431969504797,1.34396525520576e-05,""
"Boat trailers (effort)","MA2 bottomfish open",1.49583375604484,7.17167758156521,-12.560654303823,15.5523218159127,0.835029602751396,""
"Boat trailers (effort)","Razor dig (nearby beaches)",0.995041600947218,3.40344971512654,-5.67571984070081,7.66580304259525,0.770365864949306,""
"Shore CPUE","MA2 salmon open",0.558389003693809,0.225584583809476,0.116243219427236,1.00053478796038,0.0133584575840534,""
"Shore CPUE","MA2 halibut open",-0.0514621778283198,0.0762585307600322,-0.200928898117983,0.0980045424613433,0.499822065317327,""
"Shore CPUE","MA2 bottomfish open",0.0603880530672137,0.0992443528600837,-0.13413087853855,0.254906984672978,0.542908766276067,""
"Shore CPUE","Razor dig (nearby beaches)",0.0131985565075238,0.044085984327823,-0.0732099727750094,0.0996070857900569,0.764665858854968,""
"Boat CPUE","MA2 salmon open",-1.26401614577524,3.01870277052113,-7.18067357599665,4.65264128444617,0.676030082264475,""
"Boat CPUE","MA2 halibut open",0.871801484230339,1.05451556821436,-1.1950490294698,2.93865199793048,0.409738216082206,""
"Boat CPUE","MA2 bottomfish open",1.99756400047693,1.59121250338595,-1.12121250615953,5.11634050711339,0.211349183313207,""
"Boat CPUE","Razor dig (nearby beaches)",-0.237019893875087,0.563421368166661,-1.34132577548174,0.867285987731569,0.674607596855471,""
