"parameter","mean","lo95","median","hi95","n_eff","Rhat","decoupled","decoupled_reason"
"mu_mu_E[1]",3.14938644368819,1.16514958477351,3.09813226853919,5.33819655296177,2570,1.0013,FALSE,NA
"mu_mu_C[1]",0.0925198899948998,-2.2411148805073,0.245812096892412,1.75534653763587,2327,0.9999,FALSE,NA
"sigma_eps_E",0.188769723506038,0.00921909058905663,0.155558376884293,0.583398908839806,2395,1.0011,FALSE,NA
"sigma_eps_C",0.15748363617657,0.0268062241136384,0.133018047920191,0.426542071736203,2304,1.0004,FALSE,NA
"phi_E",0.0942652619144693,-0.720982164423138,0.111386169281191,0.840557332406566,6509,0.9999,FALSE,NA
"phi_C",-0.219372207608735,-0.884310644046164,-0.270558228327287,0.710359728843555,5254,1.0004,FALSE,NA
"sigma_r_E",0.509315489538515,0.398292263514651,0.505438671297845,0.640400455645349,6941,0.9995,FALSE,NA
"sigma_r_C",0.77439985011296,0.702697006381258,0.773631246143083,0.850765430898408,9041,0.9996,FALSE,NA
"r_E",4.02829905908778,2.43835388188898,3.91438074520458,6.30371048267261,6459,0.9995,FALSE,NA
"r_C",1.67975629499415,1.38159365538809,1.67082896614826,2.02518076413315,8657,0.9996,FALSE,NA
"sigma_mu_E",1.2216908243995,0.0346076502316635,0.709321966125423,5.84248525113767,3609,1.0015,FALSE,NA
"sigma_mu_C",1.15164379978471,0.0360274371894604,0.721164342182231,4.98367816270831,3332,1.0002,FALSE,NA
"sigma_IE",0.196367363464215,0.00645159041690022,0.138029043927842,0.69145948610001,10073,1.0001,TRUE,"no I/E observations in this fit (IE_n = 0); sigma_IE is its prior"
"R_G",1.32425782196452,1.26525546883135,1.32387133828801,1.38440200214268,9782,0.9995,FALSE,NA
"R_G_boat",4.50554313667323,1.49506793079298,3.96544542660942,10.4724794339207,7764,0.9995,TRUE,"no boat count stream in this fit; the boat gear ratio is its prior"
"B1",0.705407891257164,0.378012391984377,0.704598730986645,1.03337084858672,9792,0.9995,FALSE,NA
"B2",-0.0850401473595745,-1.04005255918316,-0.111899199047149,0.973674906885352,7654,1,FALSE,NA
"B1_C",-0.166924907109752,-0.331269294851828,-0.167064544805843,0.00119640861782354,8318,1,FALSE,NA
"B2_C",-0.0909692813923957,-0.461820794419541,-0.0931952239128102,0.289846756377853,6492,0.9994,FALSE,NA
"gamma_C",0.0126139144367563,-1.98205350699805,0.012800462908215,2.02414659439693,11357,1.0004,TRUE,"estimate_cpue_density = 0: the density term is inert"
"kappa_OSP",3.14483931759823,1.68468242923644,3.01471520411844,5.40274506337415,9116,0.9996,TRUE,"no OSP observations in this fit (OSP_n = 0)"
"sigma_r_OSP",7.74177831063199,0.0406557167079221,0.999427860594902,26.2026562872725,3272,1.0013,TRUE,"no OSP observations in this fit (OSP_n = 0)"
"r_OSP",1309.53582042044,0.00145650216609837,1.00114779103593,605.0019299037,3470,1.0013,TRUE,"no OSP observations in this fit (OSP_n = 0)"
"f_crab[1]",1,1,1,1,NA,NA,TRUE,"apply_crab_fraction = 0 (shore, or the feature is off): f is pinned at 1"
"f_lower[1]",0,0,0,0,NA,NA,TRUE,"apply_crab_fraction = 0 (shore, or the feature is off): f is pinned at 1"
"tau_bar[1]",1.78083503539048,0.957726039648871,1.69722637434304,3.08659889277489,9297,0.9994,FALSE,NA
