"mode","subseason","month","PE_catch","BSS_catch_median","BSS_catch_lo95","BSS_catch_hi95","PE_effort","BSS_effort_median","BSS_effort_lo95","BSS_effort_hi95"
"private_boat","all_gear","2024-12",563.369920237282,984.212778286256,569.373881793345,1770.88543027825,303.400427752984,258.219387589471,158.781290362995,445.162667551113
"private_boat","all_gear","2025-01",429.940202286347,693.809257073226,389.604750097214,1243.11741845176,231.542431706225,190.532216480713,112.656349652719,321.578285399883
"private_boat","all_gear","2025-02",133.429717950935,281.958570451198,133.303417430153,565.940466253334,71.8579960467594,86.1278446620779,44.0028740584101,158.257745907911
"private_boat","all_gear","2025-03",303.923246443797,755.492176513531,410.251532229356,1461.88914262113,163.676546550952,216.295824709733,127.921497709176,365.71257449352
"private_boat","all_gear","2025-04",1045.19945728233,2516.65031202722,1452.06703474955,4386.07456869543,562.887635699616,734.721808480959,477.12667130405,1208.40076511053
"private_boat","all_gear","2025-05",1791.41750952644,3486.14371580567,2089.72097731711,6639.60145281621,964.76013210927,980.491227195595,649.221052383262,1733.81877577974
"private_boat","all_gear","2025-06",479.358616342249,4234.39048201575,1897.89894720733,10930.605493128,258.156504316136,1243.09471077095,654.605941587877,2941.31768139545
"private_boat","all_gear","2025-07",4536.6104103318,16712.0700675865,8672.05519343277,34722.2310159122,2443.17186558982,4969.39400411087,2931.538348551,9937.75046583453
"private_boat","all_gear","2025-08",8986.73859606577,15885.3706312879,9340.42061194298,27130.8729802179,4839.7691041123,4748.80621625264,3260.50013101814,7428.607061677
"private_boat","all_gear","2025-09",3800.27604089886,6819.44330253252,3160.05767376639,12781.9749577514,2046.62218370215,2189.41291970553,1446.076420713,3561.3972660937
"shore","all_gear","2024-12",2123.48356697365,2578.35670851176,1965.11126963409,3454.46076728369,2443.61519560325,2033.47920208305,1645.74421095208,2563.7433479564
"shore","all_gear","2025-01",1781.65705802687,1419.78333418611,1074.87184040427,1979.59537915425,2050.2556874283,2290.25064256035,1814.9020576586,2969.72273478851
"shore","all_gear","2025-02",992.866312458402,788.779454368102,533.339213758601,1244.05895136573,1142.54861495523,1447.68830399355,1101.63242495067,2000.61196099996
"shore","all_gear","2025-03",1382.58358844065,1206.64677084164,866.708859247547,1768.16107076499,1591.01879498895,1874.80951528518,1467.18725467881,2501.7143855003
"shore","all_gear","2025-04",1793.72503351492,2154.21633113565,1539.36294883588,3234.07363892659,2064.14300388387,2707.2031261559,2064.62481356037,3789.93633715969
"shore","all_gear","2025-05",1656.27032169183,2361.53241677522,1632.04999246432,3622.30739009702,1905.96592743167,2620.04054696579,1961.94495168996,3729.44740200495
"shore","all_gear","2025-06",717.961649812298,2269.10487831146,1412.07568964076,4050.57282337794,826.199940808625,2447.85538086024,1707.15142704221,3953.61452845837
"shore","all_gear","2025-07",1609.52404320062,2911.83546436283,1989.43857381893,4602.18491067565,1852.17228464789,3438.97378960913,2520.67200871313,4953.30263344931
"shore","all_gear","2025-08",2347.29856496057,2878.17544296044,2116.23689045974,4316.33784272249,2701.17204162312,3283.55630279746,2596.89469532524,4530.72188863575
"shore","all_gear","2025-09",1326.92050020377,1630.38328951422,1125.74380588025,2451.80822186568,1526.96406418465,1487.44720958161,1113.75015905393,2094.25862833728
"shore","ring_net_only","2024-09",1171.53076882907,1285.33614566625,966.81521456354,1778.66009180796,893.101787762454,985.567025027,757.966663193843,1340.20779586529
"shore","ring_net_only","2024-10",2535.738883252,2652.34850028894,2090.01831584924,3427.48231655937,1933.08873329434,1994.77837871006,1615.13439977335,2532.91409261452
"shore","ring_net_only","2024-11",2176.91364345159,2628.58366692404,2035.73347157081,3421.30168794696,1659.54281227654,2007.56698896574,1574.53145060456,2601.61172982158
