"parameter","mean","lo95","median","hi95","n_eff","Rhat","decoupled","decoupled_reason"
"mu_mu_E[1]",3.0913733424786,1.07510750039559,3.06076402910916,5.27446096462837,1705,1.0003,FALSE,NA
"mu_mu_C[1]",0.131374608324196,-2.43632164818621,0.287980502985519,1.88273658843387,1392,1.0045,FALSE,NA
"sigma_eps_E",0.235534608018471,0.0099425629844794,0.194295895425118,0.723520605240726,1681,1.0029,FALSE,NA
"sigma_eps_C",0.146044991655587,0.0215155296444688,0.122186545456647,0.403064458435434,1800,1.0013,FALSE,NA
"phi_E",0.0812141956389312,-0.735898260567641,0.0939589908678865,0.826952446909451,4012,1.0001,FALSE,NA
"phi_C",-0.232783735146349,-0.892653392537857,-0.297843422566208,0.69189064903522,3007,1.0002,FALSE,NA
"sigma_r_E",0.562187365231366,0.447407064817955,0.558012675593875,0.699186533944827,5788,1,FALSE,NA
"sigma_r_C",0.773886655256198,0.70024009736783,0.773185210907609,0.849994413379754,5054,0.9997,FALSE,NA
"r_E",3.29131473872189,2.04556792721751,3.21152917554924,4.99567670120024,5867,1,FALSE,NA
"r_C",1.68189428156173,1.38410124618783,1.67275725964667,2.03941709356695,5085,0.9997,FALSE,NA
"sigma_mu_E",1.15743814639831,0.0320002565709853,0.701937690985913,5.29347663818296,3223,1.0006,FALSE,NA
"sigma_mu_C",1.10352806621023,0.0396621201523518,0.692847504221464,4.48786357648175,1312,1.0051,FALSE,NA
"sigma_IE",0.200596941048531,0.00513182522192217,0.140895182759032,0.743389633929103,7928,1,TRUE,"no I/E observations in this fit (IE_n = 0); sigma_IE is its prior"
"R_G",1.32451920961394,1.26536898226067,1.32385937936137,1.38527002397397,6750,0.9999,FALSE,NA
"R_G_boat",4.49227775321021,1.47286411217883,3.98853351694746,10.7251626461934,6170,0.9997,TRUE,"no boat count stream in this fit; the boat gear ratio is its prior"
"B1",0.47440269841692,0.153979365154524,0.473836288907589,0.79642328513475,5276,0.9999,FALSE,NA
"B2",0.0587774669774347,-0.928247423686236,0.033196245311109,1.1519728757276,4710,1.0004,FALSE,NA
"B1_C",-0.200514891295887,-0.367303235800899,-0.200783956342419,-0.029105561653106,5283,1.0002,FALSE,NA
"B2_C",-0.0848523096185772,-0.458193803562928,-0.0849455881265455,0.299725004897758,3907,1.0004,FALSE,NA
"gamma_C",0.019247517257358,-1.94290514440123,0.0289050152532659,1.97035511261248,6358,1.0001,TRUE,"estimate_cpue_density = 0: the density term is inert"
"kappa_OSP",3.140082047118,1.66887193626798,3.00219173617678,5.42499625258462,6100,1.0008,TRUE,"no OSP observations in this fit (OSP_n = 0)"
"sigma_r_OSP",5.92307333799335,0.0394886831221783,0.979144770988099,26.0601709082812,1708,1.001,TRUE,"no OSP observations in this fit (OSP_n = 0)"
"r_OSP",35951.0823352095,0.00147246701300332,1.04305253370867,641.290346036806,3657,1.0004,TRUE,"no OSP observations in this fit (OSP_n = 0)"
"f_crab[1]",1,1,1,1,NA,NA,TRUE,"apply_crab_fraction = 0 (shore, or the feature is off): f is pinned at 1"
"f_lower[1]",0,0,0,0,NA,NA,TRUE,"apply_crab_fraction = 0 (shore, or the feature is off): f is pinned at 1"
