"parameter","estimate","median","lo95","hi95","mean","n_eff","Rhat","decoupled","decoupled_reason","fit_method"
"mu_mu_E[1]",3.10220084244323,3.10220084244323,1.17378145959052,5.04498622086715,3.12279342495712,4134,1.0011,FALSE,NA,"BSS"
"mu_mu_C[1]",0.0162603583088049,0.0162603583088049,-2.42968102359715,1.75410407545494,-0.0964771269154844,4581,1.0011,FALSE,NA,"BSS"
"sigma_eps_E",0.451061911022826,0.451061911022826,0.376621214693897,0.535493804615462,0.451957317834901,2835,1.0009,FALSE,NA,"BSS"
"sigma_eps_C",0.252253632006107,0.252253632006107,0.150766660904926,0.382066663361837,0.256182497983057,1707,1.0016,FALSE,NA,"BSS"
"phi_E",0.652999345451667,0.652999345451667,0.490822772506475,0.777063967114315,0.648319284249698,1809,1.0022,FALSE,NA,"BSS"
"phi_C",0.809506466147463,0.809506466147463,0.549385456498788,0.934040337242797,0.792088855431414,1726,1.0014,FALSE,NA,"BSS"
"sigma_r_E",0.234398571881295,0.234398571881295,0.196158868326046,0.278814367920138,0.235166635917728,4474,1.0012,FALSE,NA,"BSS"
"sigma_r_C",0.743192820643909,0.743192820643909,0.652350795058597,0.843962898626591,0.744487040227694,7042,1.0002,FALSE,NA,"BSS"
"r_E",18.2007832328798,18.2007832328798,12.8638127341821,25.9886730760814,18.5196678162724,4684,1.001,FALSE,NA,"BSS"
"r_C",1.81049357808452,1.81049357808452,1.40395533031626,2.34983629733642,1.8278575731327,7527,1.0001,FALSE,NA,"BSS"
"sigma_mu_E",0.65323360232335,0.65323360232335,0.0269155261346163,4.06569237845886,1.00299426010543,3662,1.0028,FALSE,NA,"BSS"
"sigma_mu_C",0.720102450863071,0.720102450863071,0.0296061260507067,5.26305254906758,1.16195921680236,7200,1.0003,FALSE,NA,"BSS"
"sigma_IE",0.2695868366713,0.2695868366713,0.0196622910809454,0.777754944325722,0.299994767501624,2825,1.0007,FALSE,NA,"BSS"
"R_G",1.27959531922995,1.27959531922995,1.24195254233912,1.3151505423558,1.27916286195595,15187,0.9997,FALSE,NA,"BSS"
"R_G_boat",NA,3.98737211941119,1.51274059205446,10.5544875824685,4.51522048787132,11942,1,TRUE,"no boat count stream in this fit; the boat gear ratio is its prior","BSS"
"B1",0.909166144093644,0.909166144093644,0.719580526558298,1.10226950602204,0.908941165444115,2531,1.0004,FALSE,NA,"BSS"
"B2",0.0729806164961497,0.0729806164961497,-0.422207081030653,0.574829736462022,0.0727225476318003,3936,0.9998,FALSE,NA,"BSS"
"B1_C",-0.322653959455068,-0.322653959455068,-0.495559522568573,-0.142797785474504,-0.320786797909636,8052,1.0001,FALSE,NA,"BSS"
"B2_C",-0.0611175417613174,-0.0611175417613174,-0.481091121184726,0.34464038481461,-0.0624150044851253,8127,1.0006,FALSE,NA,"BSS"
"gamma_C",NA,-0.00789007743412448,-1.99981112143076,2.02273812800078,-0.00139941865475204,15973,0.9997,TRUE,"estimate_cpue_density = 0: the density term is inert","BSS"
"kappa_OSP",NA,2.98883316297905,1.67415796316481,5.3943510824991,3.12903100505365,14607,1.0001,TRUE,"no OSP observations in this fit (OSP_n = 0)","BSS"
"sigma_r_OSP",NA,1.00333684068219,0.0411557503195164,28.3871798040758,6.49244699241033,8257,0.9999,TRUE,"no OSP observations in this fit (OSP_n = 0)","BSS"
"r_OSP",NA,0.993359609106868,0.00124095447053074,590.3899508946,12420.7198715117,9870,1,TRUE,"no OSP observations in this fit (OSP_n = 0)","BSS"
"f_crab[1]",NA,1,1,1,1,NA,NA,TRUE,"apply_crab_fraction = 0 (shore, or the feature is off): f is pinned at 1","BSS"
"f_lower[1]",NA,0,0,0,0,NA,NA,TRUE,"apply_crab_fraction = 0 (shore, or the feature is off): f is pinned at 1","BSS"
"theta_C[1]",0.179023360995884,0.179023360995884,0.124804365665674,0.225404611068986,0.178003390617338,8812,1.0001,FALSE,NA,"BSS"
