"parameter","mean","lo95","median","hi95","n_eff","Rhat","decoupled","decoupled_reason"
"mu_mu_E[1]",3.04393220201312,1.10657016086765,3.01684705005968,5.09752016633145,3193,1.0015,FALSE,NA
"mu_mu_C[1]",0.0859537463172367,-2.25479264992711,0.232508579787763,1.83795235422327,2722,1.0055,FALSE,NA
"sigma_eps_E",0.287320111708424,0.0170294375788822,0.300036189378126,0.547944280767714,210,1.0167,FALSE,NA
"sigma_eps_C",0.111421799921214,0.00703316652662618,0.108939465138031,0.239695630103164,1719,1.0019,FALSE,NA
"phi_E",0.439248162629767,-0.507399829506626,0.532029918800501,0.860416189768437,631,1.0042,FALSE,NA
"phi_C",0.220264902504477,-0.613548879650535,0.272647269061863,0.820792286996391,2579,1.0002,FALSE,NA
"sigma_r_E",0.336289480057523,0.0207008323975918,0.350108180430025,0.60332566611187,192,1.0146,FALSE,NA
"sigma_r_C",0.774818697295475,0.699878072409484,0.773883742025498,0.854256215103176,7950,1,FALSE,NA
"r_E",1686.54740144904,2.74723872810763,8.15822135524865,2333.6753188141,3779,1.0006,FALSE,NA
"r_C",1.67851843824796,1.37032539334889,1.66973885768082,2.04152762896864,7807,0.9998,FALSE,NA
"sigma_mu_E",1.09335421709037,0.0294328673281626,0.694197991747981,5.07716621529638,2904,1.001,FALSE,NA
"sigma_mu_C",1.1337412296202,0.0367914001542158,0.701342565454446,4.94960281179501,2665,1.0042,FALSE,NA
"sigma_IE",0.203163799798797,0.00526047044777426,0.140908628780559,0.738006127012221,9278,1,TRUE,"no I/E observations in this fit (IE_n = 0); sigma_IE is its prior"
"R_G",1.32394814230503,1.26575553713275,1.32403942690402,1.38254367035486,10419,0.9998,FALSE,NA
"R_G_boat",4.5533431956484,1.50709956624435,4.04405888816502,10.9154321268798,7988,1.0001,TRUE,"no boat count stream in this fit; the boat gear ratio is its prior"
"B1",0.715542112723585,0.385892109857507,0.713817837084994,1.04238220985626,6685,0.9997,FALSE,NA
"B2",-0.206535851712505,-1.1256569572595,-0.230947011840809,0.807025897989481,2436,1.0004,FALSE,NA
"B1_C",-0.142163208905771,-0.325217979310875,-0.142731331798665,0.0392955509672098,6675,1.0003,FALSE,NA
"B2_C",0.0287894594642175,-0.426971102473275,0.0281512614026758,0.477312400644797,4948,1,FALSE,NA
"gamma_C",-0.0215221262965401,-1.96252894884424,-0.0176660734865973,1.94389829381369,10314,0.9998,TRUE,"estimate_cpue_density = 0: the density term is inert"
"kappa_OSP",3.13761087680192,1.6930845674957,2.99504695486389,5.35194523498418,9414,0.9998,TRUE,"no OSP observations in this fit (OSP_n = 0)"
"sigma_r_OSP",5.66462156865634,0.0331151161931798,0.992343617190725,29.2556915215778,4621,1.0002,TRUE,"no OSP observations in this fit (OSP_n = 0)"
"r_OSP",2051.30019643117,0.00116836714849381,1.01549044010677,911.902043691477,5999,1.0006,TRUE,"no OSP observations in this fit (OSP_n = 0)"
"f_crab[1]",1,1,1,1,NA,NA,TRUE,"apply_crab_fraction = 0 (shore, or the feature is off): f is pinned at 1"
"f_lower[1]",0,0,0,0,NA,NA,TRUE,"apply_crab_fraction = 0 (shore, or the feature is off): f is pinned at 1"
